category,sub_category,crimeaditionalinfo
Sexually Explicit Act,,"The person from delhi ask me to give his Id to me and ask me to give half payment and i give her half payment and after that he block me from everywhere I want my money back because i borrow it from my dad and i have to return the money i hope you solve my problem as soon as possible i also have the location of the person he block me first from instragram and then from WhatsApp and i dont  know what to do then my friend give me a suggestion to report on cyber crime i dont need anything but i want my money back or the Id
Please solve my problem as soon as Possible i also have the location of the person his UPI Id and all the chats please help me "
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  GOOGLE PAY 
BANKSTATE BANK OF INDIA 

ACCOUNT NUMBER 
TOTAL AMOUNT  

PLEASE HOLDREVERSE  TOTAL AMOUNT IN THE COMPLAINANTS ACCOUNT AND TAKE NECESSARY ACTION "
Online Financial Fraud,Internet Banking Related Fraud,Attached message said KYC details for Airtel connection required otherwise connection will be cut within  hrsand a mobile number provided Wrongfully it was attended and with anxiety As required by the cheater initially  Rs was paid by debit card and later understood Rs has been swindled
Sexually Obscene material,,The boy has told he will publish one nude photo of my sister on Facebook and Instagram I requested you to take action against thisHe is  playing game with me and my sister making all those bad photos and telling i will show your parents He is out of his trackwe got scared with this due to  his blackmail it will intolerable to usso please put restric on that accountevery night he used to blackmail usplease help us to do that
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"This person pinged me on a dating app I was on called Hinge
A text was sent to me asking to ping on the WhatsApp number 
 I was just looking forward to having a normal conversation and nothing more
 I send a message and it was kinda unusual to ask for a video call
 My friend suggested I just give it a try and hang up if I suspect something fishy which I did and accepted the call
I did not show my face first as you can see the screen recording I shared differs from the morphed one
 I hang up after  sec because I was having my doubts
 Then I get these texts to show myself down which was freaking me out so I ignored them
 The opposite person kept calling so I answered once again and I disconnected at  secs of the call as she started to undress in the video
 After a while I receive screenshots and morphed video from a different number trying to blackmail me
 These videos were shared on Facebook with my friends and screenshots of the same were shared with me on Whatsapp
 I am really freaking out because I have never encountered such an incident on the internet before and I am really worried and paranoid
I have blocked these contacts on WhatsApp but they might try to call me again from different numbers
I deactivated my Facebook and deleted my hinge account
 I would request you to please look into it and address the issue at the earliest
Thank you"
Online Financial Fraud,Fraud CallVishing,"I have downloaded an app KO KO LOAN APP WHO PROVIDE LOAN FOR  DAYS TERM BUT WITHOUT MY PERMISSION AND LOAN THEY CREDITED  RUPEES IN ACCOUNT ON  MARCH  AND REPAY AMOUNT IS  IN JUST  DAYS 
THEY ARE TELLING IF YOU WILL NOT REPAY THEY WILL MISS USE MY CONTACT AND PHOTO OF MY FAMILY"
Online Financial Fraud,EWallet Related Fraud,"Namegajendra choudhry 
Mobile nophonepe no
Email idgajendrasinghgmailcom
Account noSBI BANK  IFSC CODESBIN
Address  B anand enqumetion center bapu nagar 
Distjaipur
PSmoti dungri
pin code 
Fraud by phonepe
 Rupey Transacation idT utr no  DATE  TIME  PM

 Rupey Transacation idT utr no  DATE  TIME  PM

Total fraud Rupey 
frauder ke no
      Suchna karta ne bataya ki enke pass call aaya or jankar bankar paise dalne bolkar paise nikal liye 
"
Online Financial Fraud,Internet Banking Related Fraud,"FRAUD THROUGH internet banking 
BANK  state bank of india 
AC 
 TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,Internet Banking Related Fraud,online finacysial fraud      
Any Other Cyber Crime,Other,"Indian Army ke naam pe  Rupe paytm se transfer krwa rha tha mere pass puri call recording h lekin upload ni hori screen shot send kiya h usi pe call Ayi thi or bol rha tha ni diya to tere khilaf   ka kesh krunga 
Ispe jaldi se koi Action lijiye sir"
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALA SAKHERBAZAR BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Job Fraud  Naukri jobs 
Victim got a call to his mobile and  told the victim that they are calling from naukricom and told the victim that she was short listed for a job and need to pay some amount for interview and victim paid that amount and later demand more amount for interview schedule and victim paid that amount too and later keep on demanding for more amount from and victim got doubt and called to "
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Any Other Cyber Crime,Other,I got a audio whatsapp call in the morning and he was telling that I have been a lucky as my phone number has win a luckdraw of  lakhs rupees And He gave me a new number  to claim the prize money won He told me that I have to make a whatsApp call only on this number and they will tell the details of claiming the prize money I already guessed that it will be a fake call i asked the location he told me that he was calling from Chandni Chowk And then i disconnected the call but after some time he called me two times and I didnt answered I didnt called on another number in which they gave me So I prevented the cyber crime here So reporting this incident so that they should get caught so that no other should be  victim
Online Financial Fraud,UPI Related Frauds,"Mere phone pay se  rupee ka transaction huaa h farjee movikwik balo ko date  transaction Id T mene movikwik balo se bat ko to Bo bol rhe h ki mere pass nhi aaya to kya mer paisa farjee balo ke yah pahuch gya me aapse request karta hu ki es metter ko handle karne ki kirpa kre ye add Google per aaya tha me movi ko download bkar rha tha or ek phone ka add aa rha tha usme eskratch ke liye bola mene kiya to usme rupp win huaa phir bi transfer karne ke liye option aaya or mene kiya but mo mere phone pay se paid dabit ho gya 
Please 
Handle karne ki kirpa kre or jha bhi mera Paisa ho return karne ki kirpa kre"
Online Financial Fraud,UPI Related Frauds,"Dear Sir
Please stop the fraudulent transaction and refund it to victim account
i got call from online job and they sent me email when i say yes they registered my user id
and they sent me link and after calling the person they locked the website and asking for money for unlocking the website i refused then they are blackmailing through legal action 
and i give cancellation fees rs and they asking for more money like penalty and all and i give rs more through upi kindl take 
action to the criminal 
regards"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI PHONE PE
BANK STATE BANK OF INDIA 
ACCOUNT NUMBER  
TOTAL AMOUNT 
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Gambling  Betting,Online Gambling  Betting,ISANE MERE JAISE BAHUT HI LOGO KA PAISA LIYA HAI AUR BOLATA HAI KI  RS DO MAI TUMHE DAILY  RS DUNGA  YEAR TAK AUR HUME LAGA KI SACH BOL RHA HAI  HUMNE PAISA DE DIYA AUR FIR ISNE WEBSITE HI BAND KAR DIYA wwwnmmediascom PLEASE HELP ME SIR
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,I got a message on my messenger from some unknown account named Puja Kumari She send me a message saying Hi and I replied back Hi then she asked me kahan se ho where are you from and then I replied Patna se from Patna Then she asked me sex chat karni hai kya And I replied with a laughing emoji Latter She gave me her whatsapp no and asked me to call her I send her Hi on her whatsapp and we have some chat and started sexting she incited me about sexting and I under influenced by her incitement replied  We started video calling And out of incitement and excitement as she showed her nude body I also removed my clothes As it was by the consent of both of us I was lost She recorded this act of intimacy and sexting started by her And now she is threating me and she she is demanding  amount and if I fail to give her the said amount of money She is threatening me she will upload the recorded video and send to all my social media friends I think I am being targeted as I am a govt employee posted at election authority govt of Bihar With is a very very crucial department I am in a panic mode
Online Financial Fraud,UPI Related Frauds,Fraudulent transactionrelated to honey trap  
Online and Social Media Related Crime,Online Job Fraud,I was asked yo add  first for a wallet and asked to play some game it showed  profit then i was aksed to add  showed  profit i said i want to withdraw then she said u need to play  project then only u can withdraw and for third i have to add  and i will get a proft of  But i said i dont have money and i will not add and refund my money First i was detailed in whats app and then i was asked to add a tutor on telegram and everutging was exlained from Them i have screen shots of all pages and sites Please help with refund
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Regarding the unauthorised money transaction My money was debited through debit card by  transactions to mobiquick system without knowing me I did not get any messages or otp s please clear this problem as soon as possible
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH PHONE PE 
Dear sir My Name is Shyam Swaroop Shukla Today I have recieved a call from
number  after telephonic conversation he transfer Rs  in my
phonepe but imediately after that  rs in form of  transactions removed
from my account without my consent  And the number is still working but no
one recieving  Sir Kindly Please Look into the matter and please took some
actions regarding to it  Hoping for some seroius Enquiry 

		 
BANK   STATE BANK OF INDIA 

 	
ACCOUNT  NUMBER 

TOTAL AMOUNT  


PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online and Social Media Related Crime,Provocative Speech for unlawful acts,i am a member of the chinnathirai nadigar sangam and has been working in the film industry for  years on  arround  pm i received a whats app video from my friend sivaraman containing defematory speeches and photos of me when i asked sivaraman he said MDMohan had send it to him the video has put me in distress and is defaming me i have filed a writ petition in the Madras High Court for the betterment of chinnathirai nadigar sangam MDMohan who is also the member of the chinnathirai nadigar sangam who is against the well being of ladies of the sangam with intention to cause distress defame and emotionally disturb my public apperance has created and forwarded this video to my friends of the chinnathirai nadigar sangam I therefore request you to take actions by removing the video forwarding in whats app and social media and take neccessary actions against MDMohan
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Dear sir
I am Anant kumar son of Sri Ashok kumar sah lives at Anupam Appartment Behind petrol pump amrudi galiDinkar Golamber Thana  Kadam kuan District Patna Pincode  Bihar
I want to draw your attention to the incident that happened before I had received a call and SMS from these numbers  and  They are saying to me I am calling from heromotocrop for your further assistance add email id with heromotercropI am helping youplease do a payment of two rupees for email registrationHe is very professionalI did not guess I done the payment of two rupee from my debit card without sharing any additional details of my card not even OTP After that they said me to install a app like team viewer There is no sufficient information for me about this appTo my next breathI received a muliple transaction sms from my bank account I do not know how this happened
Hence I lodged  the complaint with my bank toll free number and Bank of Baroda Branch of my account
Now I am writing to you Also let me know if there is any possibility to recover my hard earned savings
Sir kindly look into the matter and register a complaint against Fraudulent and guide me through the best possible solution to this problem I shall be highly obligated for your kind support

Thanking you
Anant Kumar
Ac Number 
My mobile number 
Special request
I am doing a private job at cafe Patna am to pmBoring Road chauraha Patna "
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Amount deducted through icici credit card number    and pnb credit card   
Any Other Cyber Crime,Other,Vinay nivedan hai ki prarthi ne  slice ka card  January  ko activate kiya tha aur usmein se  January  ko Chhota char baje sare paise company ke dwara road kar liye Gaye aur aur credit card hamen  January  ko prapt hua tha atah aapse anurodh hai ki hamari complaint touch karne ka kripa Karen
Online Financial Fraud,Fraud CallVishing,As my was applying for new account in SBI BANK after compelting  prodeure it was not moving forward than i decide to contact customer care no in that i received this no  and called on this no the person told me to download app as anydeskremotessoftware and send the photos of u r existing bank account debit card after that he decducted  from one account and after disconnecting the he deducted  from another account of another debitcard of mineAfter that i blocked all my cards for future secure in that time we received otp but not given then also money had been deducted from our account please help us to recover u r our money as early as possible
Online Financial Fraud,UPI Related Frauds,The caller sends money to get loan to a fake google pay
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,while paying the amount to ola cab due to dispute in payment amount to driver we called ola call centre on contact no  and phone got diverted mob no  the person suggest us to make payment to ola cab driver in cash and we will refund amount to your account and hence he took the details of visa card for amount refund purpose and thus he makes the fraud by debiting my account for aforesaid amounts
Any Other Cyber Crime,Other,"They talk to my father as a icici customer care and asked for credit card information and otp my father asked him that why he is asking for otp but he convince him by saying that their call is recording and my father told him and they took Rs  from credit card their contact number is 
"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH   PAYTM 
BANK 	CITIZEN CO OPPERTAIVE  BANK 
ACCOUNT NUMBER  
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
i receive a call from unknown number  he says that your fathers  account not working i need to send some money  to your fathers account in that case  i send you by paytm  he send  rs on my paytm number and recieve it  and he send a link of rs   on my paytm app i click on it my money is transfer in his account instead of receive money that after i realize this is a fraud call kindly take strong action on these fraud people pleae"
Online Financial Fraud,UPI Related Frauds,The person told he is a professional seller Took money from me told he was going to give Netflix account then blocked me I tried to contact him with another account but he blocked again He took money from me with  transactions Total of  One transaction of  and one of 
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI PHONE PE 

BANK  UNION BANK OF INDIA 



ACCOUNT NUMBER  

TOTAL AMOUNT  
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,"Nexolyfe sun n moon campny 
Se  set dres kharida eske liye main google pay se  rupya send kiya din ka promise date ho jane ke bad wo abhi call bhi nahi uthata
Or ak baar call baat kiya to compny ne bola jo karna hai kar lo
Main na dress duga na paisa
Ab wo call nahi uthata hain or nahi social midia par message seen karta hain"
Online Financial Fraud,UPI Related Frauds,"Dear Sir
             Please stop the fraudulent transaction and refund the amount in source account
Regards"
Online and Social Media Related Crime,Online Job Fraud,Today I saw recruitment for Delhi Metro Rail Corporation on Facebook When I click on the link the link took me to whatsapp There was a number  And I message them Hi they sent me a link When I click on link there I saw many vacancies for many jobs in DMRC I click on a job option there was a form When I filled all details in the last there was a payment option for just  rupees When I paid  rupees the amount of  rupees was deducted from my card After that I contacted on the above mentioned number there is no response I contacted to my card customer care number they said the payment gone to Gurugram on Payu Payments Pvt Ltd
Online Financial Fraud,Internet Banking Related Fraud,Please Urgent Action
Sexually Obscene material,,One girl asked  me come in video call  and after that she make nude video with me and asking me money  otherwise  she threatened me to viral the video and nos of electronic  media like Facebook YouTube etc
Online Financial Fraud,UPI Related Frauds,CALLER INFORMED THAT AMOUNT FRAUD DONE THROUGH ONLINE 
Online Financial Fraud,UPI Related Frauds,CTM application ke madhyam se  Rs jama karwa kr fraud kiya gya hai uske bad application abhi band hai nahi khul rha hai ki shikayat darj kr agrim karywahi kiya ja rha hai
Any Other Cyber Crime,Other,Please solve as soon as possible  because  company harrsing me like any thing they calling  my parents and my friend also their words also very harsh please check the details daily I will get maximum  calls  its disburing my  privacy also  I am requesting you to solve the case soon possible
Online Financial Fraud,UPI Related Frauds,UPI Fraud 
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,I got a call from unknown person saying he is calling from bank he asked me to open anydesk app and to scan my ATM card and CV number after that within  mins Rs got debited from my account
Any Other Cyber Crime,Other,"My Uber Id was hacked on monday th jan  evening I was complained about this in uber company but they are delaying to take action
other person was using my profile picture and personal documents on his Id  so I received call from Haryana Airport on my Uber registered mobile number  
My Uber Id mohd
password mohd"
RapeGang Rape RGRSexually Abusive Content,,This account is posting inappropriate content to target a group of people And this account is continuously harassing a group of people And that person is no fear of law and order Hope you take down his account as soon as possibleAnd immediate action should be taken as possible There are so many fake account like this I am seeing from so many days and reporting too thank you
Online Financial Fraud,Internet Banking Related Fraud,"FRAUD THROUGH 	Internet Banking Related Fraud
BANKUnion Bank of India including Andhra Bank and Corporation Bank	
ACCOUNT NO 		
TOTAL AMOUNT	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,That Instagram ID has created fake and fraud business account Does not even allow people to comment on their post That person is not responding to call or messages and blocking everybody who tries to contact her
Online Financial Fraud,UPI Related Frauds,As I opened my Facebook application I found this scratch card Thinking it is the PhonePe scratch card that I got after a Myntra Order When I scratched the card There was written   Click send money to directly credit reward amount to your bank account  I clicked and put my UPI pin and since then Rs and Rs were debited from my account immediately As soon as I read the message I called my Daughter and She called the HDFC Bank and helped me freeze my Bank account block my debit card and complain a file against the fraud so that this should not happen with other people and the criminal should be punished accordingly Money comes with Hard Work
Online and Social Media Related Crime,Impersonating Email,                 hp shukla                                                                                                                                                         hpshuklashuklagmailcom                           
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,FINANCIAL FRAUD
Online Financial Fraud,Internet Banking Related Fraud,TOTAL INTERNET BANKING FRAUD OF RS 
Online and Social Media Related Crime,Cheating by Impersonation,"My face is used in inappropriate image and this id is shared to all my contacts  I am a teacher This activity  maybe done by some student Kindly do the needful as early as possible
My instgram id mshadab"
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Mere sath fraud hua hemene loan application se loan liya tha or   din me  loan k  intrest k sath paid kiye fir bhi firse vo blackmail karke paise maag rahe hai or mere saare contact list hack kar liye hai mere relatives ko call karke blackmail kar rahe hai or whatsapp messages me gande word use karke roj harresment kar rahe hai paise k liye
Online Financial Fraud,UPI Related Frauds,They was coming as hole sealer I was checked one individual named VAKEEL AHMED UID No  date of birth  date of issue UID is   address SO Banke Mohalla Marhaiya vard No  Post Kant District Shahjahanpur UP Mob No  They both showed some lose items and packed items balanced from theirs shop and asked for payment Rs  I was paid and they moved out quickly I was try to contact with him but his phone was switched off  Then I realised and checked there were no items as per theirs statement and I got they fraud with me
Online Financial Fraud,UPI Related Frauds,"name  bhagwan  district  jaipur  ps renwal   pincode    suchnakrta ke phone pay no     suchnakrta ke ac no   bank of india 
froder ke no    
frod by phone pay  total amount   
  am   id  T  UTR    
suchnakrta ne btaya ki unke pass nah to koi call aaya nah kisi ka koi msg aaya fir bhi pese cut gye h 
"
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,Internet Banking Related Fraud,Mai jab googel mai creditcard help line no googel mai saerch marato yeh help line no mai mo no call kiya aur muje app downlod ke lye bala desk romate uske bad internet banking username aur password dalne bola tab  debit ka masa aya morning  am aur  ka  am pe masage aya fir mai sbi mai  pm ko complain karwai aur cyber crime mai helping ke liye phon kiya mera mo no  aur account no aur mera emai id Solankisiddharajsinhgmailcom  please help respected sir      dhanvad siji
Online Financial Fraud,UPI Related Frauds,I complainant Raghuveer Prasad Gour has received a Phone Call on  on my mobile No  from Mobile No  and person on the other side said that  You have get a Cash Back Amount of Rs  and requested to me for check balance on my Phone Pe UPI Id and disconnect the call and when I tried to check my Balance amount on Phone Pe UPI than I found a Message on front screen which is appeared Rs  and when I touched It shows continuously busy screen and my mobile process was hanged and my mobile was not working properly Than I feeling doubt about misconduct of cyber crime against me from said person and then I immediately approach State Bank of India Branch Collectorate Jashpur and after concern bank official found that Rs  Rs  Rs  Rs  Rs  Rs  Rs  and Rs  on  Amount Rs  and Rs  Rs  Rs  Rs  on  Amount Rs  Total Amount Rs  has been deducted from My SBI Account No 
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Facebook
VICTIM HAD SEEN AN ADD IN FACEBOOK REGARDING INDIAN A EXPRESS 
SO AS VICTIM INTERESTED HE CALLED THEM LATER ON THEY ASKED TO PAY THE PROCESSING FEES ETC SO VICTIM HAD PAID THEM LATER ON THEY WERE NOT RESPONDING TO VICTIM CALLS OR MSGS"
Online Financial Fraud,UPI Related Frauds,They call and tell me about cashback offeer and  then sent me payment request on phone pay after that my amount will be deducted and they aks for check account balence and they sent another payment request and my  rs also deducted they also calling and asking me too ckeck you accont balece
